# sigbank type-frequency analysis
# files processed : 924,117
# signatures parsed: 924,244
# total type hits  : 1,704,303
# unique base types: 94
# parse errors     : 0

rank   type                                count       pct
------------------------------------------------------------
1      uint256                           708,347  41.5623%
2      address                           512,849  30.0914%
3      string                            143,942   8.4458%
4      bytes32                            71,501   4.1953%
5      bool                               61,176   3.5895%
6      uint8                              55,455   3.2538%
7      bytes                              45,606   2.6759%
8      uint16                             24,059   1.4117%
9      uint32                             20,910   1.2269%
10     uint64                             13,911   0.8162%
11     uint                                8,334   0.4890%
12     uint128                             7,865   0.4615%
13     int256                              6,460   0.3790%
14     uint24                              3,802   0.2231%
15     uint96                              3,589   0.2106%
16     bytes4                              2,050   0.1203%
17     int24                               1,748   0.1026%
18     int128                              1,097   0.0644%
19     uint48                              1,095   0.0642%
20     int32                                 989   0.0580%
21     uint40                                940   0.0552%
22     bytes16                               898   0.0527%
23     uint160                               790   0.0464%
24     uint80                                585   0.0343%
25     int8                                  518   0.0304%
26     int64                                 507   0.0297%
27     uint112                               433   0.0254%
28     int16                                 386   0.0226%
29     bytes8                                373   0.0219%
30     bytes1                                278   0.0163%
31     bytes6                                259   0.0152%
32     uint192                               248   0.0146%
33     bytes12                               234   0.0137%
34     bytes20                               230   0.0135%
35     uint120                               224   0.0131%
36     int                                   221   0.0130%
37     int96                                 201   0.0118%
38     bytes3                                178   0.0104%
39     uint72                                174   0.0102%
40     uint88                                174   0.0102%
41     bytes2                                166   0.0097%
42     uint56                                146   0.0086%
43     uint240                               131   0.0077%
44     uint224                               112   0.0066%
45     uint104                               111   0.0065%
46     uint248                               103   0.0060%
47     uint216                                93   0.0055%
48     bytes5                                 72   0.0042%
49     bytes24                                66   0.0039%
50     bytes10                                59   0.0035%
51     uint168                                57   0.0033%
52     byte                                   50   0.0029%
53     uint208                                42   0.0025%
54     uint176                                42   0.0025%
55     uint232                                37   0.0022%
56     bytes15                                27   0.0016%
57     bytes9                                 24   0.0014%
58     int192                                 20   0.0012%
59     bytes22                                20   0.0012%
60     uint144                                20   0.0012%
61     bytes11                                20   0.0012%
62     uint152                                19   0.0011%
63     bytes7                                 18   0.0011%
64     int56                                  17   0.0010%
65     bytes14                                17   0.0010%
66     uint184                                16   0.0009%
67     bytes18                                12   0.0007%
68     bytes28                                12   0.0007%
69     bytes27                                11   0.0006%
70     bytes13                                10   0.0006%
71     int88                                  10   0.0006%
72     bytes17                                 9   0.0005%
73     uint200                                 8   0.0005%
74     bytes23                                 8   0.0005%
75     bytes30                                 8   0.0005%
76     bytes29                                 8   0.0005%
77     int40                                   8   0.0005%
78     bytes31                                 8   0.0005%
79     bytes19                                 6   0.0004%
80     uint136                                 6   0.0004%
81     int80                                   6   0.0004%
82     bytes26                                 5   0.0003%
83     int48                                   5   0.0003%
84     bytes21                                 4   0.0002%
85     bytes25                                 3   0.0002%
86     int200                                  2   0.0001%
87     int160                                  2   0.0001%
88     int168                                  2   0.0001%
89     int248                                  2   0.0001%
90     int216                                  2   0.0001%
91     int112                                  2   0.0001%
92     int136                                  1   0.0001%
93     int104                                  1   0.0001%
94     int240                                  1   0.0001%
